ID,NAME,ORGANIZATION,CATEGORY,DESCRIPTION,ADDRESS,CITY,ZIP_CODE,URL,PHONE,EMAIL,ELIGIBILITY_CRITERIA,APPOINTMENT_REQUIRED,REFERRAL_REQUIRED_FROM,START_DATE,END_DATE,IS_ALWAYS_OPEN,OPEN_HOURS_USER_INPUT,INTERNAL_NOTES,LAST_MODIFIED_DATETIME
417,Bay Area Legal Aid,,Benefits,"Legal counseling on benefits, tenant rights and evictions.","4 North Second Street, Suite 600",San Jose,95113,http://www.baylegal.org/get-help/find-an-office/santa-clara-county,(408) 283-3700,,,,,,,,"Mon 9am - 12pm, 1pm - 5pm
Tue 9am - 12pm, 1pm - 5pm
Wed 9am - 12pm, 1pm - 5pm
Thur 9am - 12pm, 1pm - 5pm
Fri 9am - 12pm, 1pm - 5pm",Add to Legal Services category.,5/3/2023 3:13 PM
445,Crime Victims Assistance Program,Social Services Agency of Santa Clara County Department of Employment and Benefit Services (DEBS),Benefits,Short-term cash assistance to certain immigrant survivors of human trafficking and other crimes.,1867 Senter Road,San Jose,95112,https://socialservices.sccgov.org/about-us/department-employment-and-benefit-services/contact-department-employment-benefit,(408) 758-3800,,,,,,,,"Mon 8am – 5pm
Tue 8am – 5pm
Wed 8am – 5pm
Thur 8am – 5pm
Fri 8am – 5pm",,12/11/2022 12:57 PM
343,Department of Outreach and Engagement,"Community Services Agency (CSA) of Mountain View, Los Altos, and Los Altos Hills",Benefits,"The Outreach and Engagement Department provides access to information about CSA programs and services. It also provides client support for or recommendation of a particular program, service, or cause.  The program also provides free community workshops and free legal clinics about immigration, tenant rights and public benefits.

The COVID-19 Positive Relief Team provides resources (food, hygiene kits, cleaning supplies) to individuals or families, housed or unhoused, who have tested positive for COVID.

English Language Learner Case Management provides support to Mountain View-Los Altos Union High School District English Language Learner students and families in connecting to community resources.",204 Stierlin Road,Mountain View,94043,https://www.csacares.org/services/outreach-and-engagement/,(650) 968-0836 ext. 127,,"Must be a low income resident of Mountain View, Los Altos, or Los Altos Hills.",,,,,,"Mon 9am - 12pm, 1pm - 4pm
Tue 9am - 12pm, 1pm - 4pm
Wed 9am - 12pm, 1pm - 4pm
Thur 9am - 12pm, 1pm - 4pm
Fri  9am - 12pm, 1pm - 4pm","Add categories:  Covid-19 Services (or something similar), ESL Case Management (or something similar), Legal Services with subcategories:  Immigration, Tenant Rights, Public Benefits",11/27/2022 1:32 PM
342,Emergency Financial Assistance,"Community Services Agency (CSA) of Mountain View, Los Altos, and Los Altos Hills",Benefits,"CSA’s Safety Net Includes:

o   Emergency financial assistance for rent and utilities
o   Back-to-School distribution of gift cards
o   Holiday Sharing Program, including distribution of gift cards
o   Fee waivers for Mountain View Parks & Recreation programs",204 Stierlin Road,Mountain View,94043,https://www.csacares.org/services/emergency-financial-rent-utility-assistance/,(650) 968-0836,,"Must be a low income resident of Mountain View, Los Altos, or Los Altos Hills.",,,,,,"Mon 9am - 12pm, 1pm - 4pm
Tue 9am - 12pm, 1pm - 4pm
Wed 9am - 12pm, 1pm - 4pm
Thur 9am - 12pm, 1pm - 4pm
Fri  9am - 12pm, 1pm - 4pm",I'm unsure if I selected the correct category.,11/27/2022 1:12 PM
8,Family & Children Services - STEP Program,,Benefits,Supportive Transitional Empowerment Program (STEP) is a substance use disorder services program. STEP provides addiction and recovery treatment services for adults beginning prior to their release from jail and continuing post-release.,,,,,(408) 538-0880,,enroll while in jail,checked,,,,,,Referral - can you make room for us to enter text?,8/25/2022 1:56 PM
7,Family & Children Services of Silicon Valley (FCS),,Benefits,"Since 1948, FCS, a division of Caminar, has been empowering individuals and families to move toward greater wellness, resilience, and independence. We are here for the entire community and dedicated to offering safe, inclusive, and affirming programs for all.",,,,,,,,,,,,,,"Please add to Category: (1) Mental Health, (2) Substance Abuse Treatment. (2) Other - and specify what other is.
Address: What do we do when an organization has multiple offices. FCS has 6 offices in SCC. ",8/25/2022 1:58 PM
490,McKinney-Vento Educational Services,City of San José,Benefits,"Children and youth who live in hotels/motels, cars/RVs, shared housing, or shelter/transitional housing are eligible to receive live academic support services online. This program is available through local school districts.",,,,https://www.sanjoseca.gov/your-government/departments-offices/housing/homelessness-response/homeless-families-individuals,,dthomas@sccoe.org,Must be a homeless youth and resident of San Jose.,,,,,,,Add to new Education category and remove from the existing category.,3/9/2023 8:00 PM
411,Office of Veterans Services,County of Santa Clara,Benefits,"Provides veterans and their dependents with assistance in filling claims for disability compensation, pension, burial benefits and requests for copies of discharges from National Personnel Records. Refer veterans to other
sources for VA medical and housing assistance.

Note that appointments are needed Monday, and Wednesday through Friday.  Walk-in service is available on Tuesdays.",68 North Winchester Boulevard,Santa Clara,95050,https://veterans.sccgov.org/home,(408) 918-4980,vets@vets.sccgov.org​​​​​,Must be a veteran or a dependant of a veteran and a resident of Santa Clara County.,,,,,,"Mon 8am – 12pm  1pm – 5pm
Tue 8:45am – 12pm  1pm – 4:30pm
Wed 8am – 12pm  1pm – 5pm
Thur 8am – 12pm  1pm – 5pm
Fri  8am – 12pm  1pm – 5pm",Probably should add this to a Veterans category or subcategory.,12/7/2022 6:05 PM
446,Santa Clara County General Assistance Services,Social Services Agency of Santa Clara County Department of Employment and Benefit Services (DEBS),Benefits,Cash assistance and employment services to adults with no dependents. Refugee Cash assistance is for newly arrived refugees and certain other immigrants not eligible for cash benefits.,1919 Senter Road,San Jose,95112,https://socialservices.sccgov.org/financial-assistance/financial-assistance-adults-without-dependent-children-general-assistance,(408) 758-3800,,,,,,,,"Mon 8am – 5pm
Tue 8am – 5pm
Wed 8am – 5pm
Thur 8am – 5pm
Fri 8am – 5pm",,5/3/2023 3:14 PM
19,Montgomery Street Inn,Referral by here for you,"Benefits,Documents,Employment,Financial,Food,Housing,Medical,Personal Care,Shelter,Technology,Transportation","Provides emergency and transitional housing for single adult men with case management.

Serves Veterans with less than honorable discharge.

All, Single Adult Services, Veterans Services, VMR Veterans Medical Respite, Grants Per Diem (GPD)","358, North Montgomery Street",San Jose,95110,https://www.lifemoves.org/directory/montgomery-street-inn/,(408) 271-5160,,serves Vetrans with less than honorable discharge - GDP,,,,,,,"https://www.lifemoves.org/directory/montgomery-street-inn/  this url has an error on the zipcode. 95110 and 65110 which could cause confusion to the user and for the automated aspect of user web search, parsing/web crawler

the hours of service are not clear, established clients are served 24 hrs a day",5/3/2023 3:15 PM
